speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.000,83.7617,-0.5858,2.0631,0.0891,0.2011
2.500,22.0000,-0.0900,23.3000,0.0580,0.1950
3.200,29.2830,-0.0490,25.6400,0.0870,0.1500
3.600,33.1311,-0.0535,19.8266,0.1056,0.1338
3.737,1.3987,-0.4997,43.6541,0.3797,0.1285
4.000,-0.3393,2.1328,19.5752,0.0932,0.1281
4.800,44.6406,-0.0529,13.2253,0.1720,0.1001
5.000,-0.6068,3.0111,17.2088,0.1442,0.0989
5.211,-14.8123,0.0352,79.7172,0.5848,0.0946
5.579,-20.4195,0.1454,16.6546,0.6294,0.0886
5.947,-22.8666,0.1739,13.7752,0.6642,0.0831
6.000,-15.4890,0.2849,22.8328,0.6720,0.0821
6.316,-17.4130,0.2041,16.2553,0.6805,0.0781
6.684,-15.9894,0.2170,17.6029,0.7102,0.0737
7.053,-15.4422,0.2245,18.5890,0.7433,0.0699
7.421,-15.3563,0.2287,19.3058,0.7782,0.0665
7.789,-15.5941,0.2309,19.7807,0.8143,0.0633
8.000,-15.8532,0.2315,19.9489,0.8353,0.0617
8.340,78.2238,-0.0388,9.2493,0.4676,0.0571
10.000,0.0000,-402936.9975,1406.8634,0.8467,0.0488
12.000,115.3790,-0.0290,9.2800,0.8550,0.0400
