speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.000,83.7617,-0.5858,2.0631,0.0891,0.2011
2.500,22.0000,-0.0900,23.3000,0.0580,0.1950
3.200,29.2830,-0.0490,25.6400,0.0870,0.1500
3.600,33.1311,-0.0535,19.8266,0.1056,0.1338
4.000,-0.3393,2.1328,19.5752,0.0932,0.1281
4.800,44.6406,-0.0529,13.2253,0.1720,0.1001
5.000,-19.8563,0.2679,22.5997,1.3403,0.0994
6.000,-15.4890,0.2849,22.8328,0.6720,0.0821
8.000,-15.8532,0.2315,19.9489,0.8353,0.0617
8.340,78.2238,-0.0388,9.2493,0.4676,0.0571
10.000,0.0000,-402936.9975,1406.8634,0.8467,0.0488
12.000,115.3790,-0.0290,9.2800,0.8550,0.0400
