speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.230,20.1532,-0.0346,62.0767,0.0491,0.2143
2.350,21.3606,-0.0481,41.8664,0.0535,0.2056
2.400,21.8627,-0.0523,37.4810,0.0553,0.2022
2.420,22.0637,-0.0540,35.9111,0.0560,0.2008
2.450,22.3675,-0.0568,33.5483,0.0572,0.1987
2.500,22.8772,-0.0599,30.9891,0.0590,0.1955
2.576,23.6469,-0.0636,28.0030,0.0616,0.1907
2.600,23.8953,-0.0647,27.1970,0.0624,0.1892
2.652,24.4247,-0.0668,25.6274,0.0643,0.1860
2.727,25.2046,-0.0691,23.7796,0.0669,0.1815
2.803,25.9851,-0.0713,22.1762,0.0696,0.1772
2.830,26.2663,-0.0718,21.7199,0.0705,0.1757
2.879,26.7696,-0.0728,20.8740,0.0723,0.1731
2.955,27.5599,-0.0740,19.7649,0.0750,0.1691
3.000,28.0322,-0.0746,19.1798,0.0766,0.1667
3.010,28.1369,-0.0746,19.0833,0.0769,0.1662
3.030,28.3532,-0.0750,18.7817,0.0777,0.1652
3.106,29.1486,-0.0755,17.9832,0.0804,0.1615
3.182,29.9435,-0.0760,17.2164,0.0831,0.1579
3.200,31.1881,-0.0681,18.4478,0.0838,0.1565
3.210,30.2419,-0.0761,16.9705,0.0841,0.1566
3.258,30.7443,-0.0763,16.5498,0.0858,0.1545
3.333,31.5558,-0.0765,15.9239,0.0886,0.1512
3.400,32.2605,-0.0765,15.4510,0.0911,0.1483
3.409,32.3554,-0.0765,15.3803,0.0914,0.1480
3.485,33.1705,-0.0765,14.8716,0.0943,0.1449
3.561,33.9803,-0.0763,14.4117,0.0971,0.1419
3.636,34.8024,-0.0761,13.9754,0.1000,0.1390
3.712,35.6191,-0.0757,13.5977,0.1029,0.1362
3.788,36.4436,-0.0754,13.2236,0.1059,0.1336
3.850,37.1241,-0.0751,12.9317,0.1083,0.1314
3.864,37.2730,-0.0750,12.8769,0.1088,0.1310
3.939,38.0959,-0.0746,12.5596,0.1118,0.1285
4.015,38.9308,-0.0742,12.2515,0.1149,0.1260
4.091,39.7723,-0.0736,11.9729,0.1179,0.1237
4.167,40.6061,-0.0733,11.6845,0.1211,0.1214
4.210,41.0879,-0.0727,11.5719,0.1228,0.1202
4.242,41.4448,-0.0727,11.4338,0.1242,0.1192
4.318,42.2881,-0.0721,11.2056,0.1274,0.1171
4.394,43.1354,-0.0715,10.9885,0.1306,0.1151
4.470,43.9861,-0.0710,10.7610,0.1339,0.1131
4.545,44.8473,-0.0703,10.5748,0.1371,0.1111
4.621,45.7039,-0.0697,10.3865,0.1404,0.1093
4.697,46.5629,-0.0693,10.1843,0.1438,0.1074
4.773,47.4243,-0.0687,10.0108,0.1472,0.1057
4.848,48.2971,-0.0680,9.8547,0.1506,0.1040
4.924,49.1637,-0.0676,9.6706,0.1542,0.1023
5.000,50.0332,-0.0670,9.5162,0.1577,0.1007
5.076,50.9162,-0.0664,9.3723,0.1612,0.0991
5.152,51.7930,-0.0657,9.2457,0.1648,0.0976
5.227,52.6852,-0.0649,9.1327,0.1683,0.0961
5.303,53.5718,-0.0645,8.9892,0.1720,0.0947
5.379,54.4623,-0.0639,8.8676,0.1757,0.0933
5.455,55.3562,-0.0634,8.7309,0.1796,0.0919
5.500,55.8883,-0.0631,8.6654,0.1818,0.0911
5.530,56.2435,-0.0627,8.6319,0.1832,0.0906
5.606,57.1511,-0.0622,8.5198,0.1871,0.0893
5.682,58.0672,-0.0615,8.4277,0.1908,0.0881
5.758,58.9592,-0.0612,8.2963,0.1950,0.0868
5.833,59.8687,-0.0604,8.2214,0.1987,0.0856
5.909,60.7887,-0.0599,8.1205,0.2028,0.0845
5.985,61.7047,-0.0594,8.0254,0.2068,0.0833
6.061,62.6190,-0.0589,7.9367,0.2109,0.0822
6.136,63.5436,-0.0584,7.8448,0.2150,0.0812
6.200,64.3392,-0.0579,7.7865,0.2184,0.0803
6.212,64.4828,-0.0579,7.7665,0.2191,0.0801
6.288,65.4145,-0.0573,7.6921,0.2233,0.0791
6.364,66.3464,-0.0567,7.6247,0.2274,0.0781
6.439,67.2962,-0.0563,7.5384,0.2318,0.0771
6.500,68.0236,-0.0560,7.4733,0.2353,0.0764
